N,id_TT,name_TT,address,latitude,longitude,region_tt
1,1,Избенка,"Москва ул. Таллинская, д. 6",55.798333,37.394009,Москва
191,345,191М_Люсиновская36,"Москва ул. Люсиновская, д. 36/50",55.722240,37.621464,Москва
198,352,198М_Трофимова35,"Москва ул. Трофимова, д. 35/20",55.704671,37.684883,Москва
295,476,295М_Волгоградский133,"Москва Волгоградский проспект, д. 133, корп. 2",55.705177,37.771626,Москва
325,515,325М_Черняховского6,"Москва ул. Черняховского, д. 6",55.804207,37.535419,Москва
385,594,385М_МБирюзова19,"Москва ул. Маршала Бирюзова, д. 19",55.794334,37.491081,Москва
414,625,414М_Профсоюзная5,"Москва ул. Профсоюзная, д. 5/9",55.685146,37.571072,Москва
418,629,418М_СМещерская25,"Москва район Куркино, ул. Соколово-Мещерская, д. 25",55.903854,37.384712,Москва
455,667,455М_Профсоюзная104,"Москва ул. Профсоюзная, д. 104",55.641920,37.523456,Москва
490,703,490М_Космодемьянских35,"Москва ул. Зои и Александра Космодемьянских, д. 35/1",55.825330,37.526460,Москва
497,715,497М_Измайловский38,"Москва Измайловский бул., д. 38",55.796430,37.800520,Москва
507,727,507М_Новотушинский10,"Москва Новотушинский проезд, д. 10, корп. 2",55.840493,37.380784,Москва
555,10778,555М_Шолохова15,"Москва район Ново-Переделкино, ул. Шолохова, д. 15а",55.641888,37.345435,Москва
557,10780,557М_Осенний12,"Москва Осенний бульвар, д. 12, корп. 6",55.758341,37.413949,Москва
562,10786,562М_Вернадского39,"Москва проспект Вернадского, д. 39",55.675544,37.505894,Москва
597,10821,597М_Профсоюзная26,"Москва ул. Профсоюзная, д. 26/44",55.678531,37.562677,Москва
599,10823,599М_3Митинский3,"Москва 3-й Митинский переулок, д. 3 + ""ВкусВиллАйс""",55.847461,37.349659,Москва
616,10840,616М_МБирюзова32,Москва ул. Маршала Бирюзова 32,55.799460,37.482947,Москва
640,10864,640М_Проспект_Мира116,"Москва проспект Мира, д. 116",55.808868,37.638011,Москва
650,10874,650М_Щербаковская35,"Москва ул. Щербаковская, д. 35",55.782849,37.729785,Москва
665,10890,665М_Строгинский30,"Москва Строгинский бульвар, д. 30",55.802170,37.406464,Москва
669,10894,669М_Головинское5,"Москва Головинское шоссе, д. 5, корп. 1",55.839794,37.492649,Москва
681,10905,681М_Вильнюсская5,"Москва ул. Вильнюсская, д. 5",55.603756,37.523106,Москва
690,10914,690М_Сокольническая_Площадь4,"Москва Сокольническая площадь, д. 4а",55.789952,37.678541,Москва
697,10925,697М_Зеленый_проспект24,"Москва проспект Зеленый, д. 24г",55.751193,37.789447,Москва
698,10926,698М_Профсоюзная142,"Москва ул. Профсоюзная, д. 142, корп. 1",55.625349,37.508804,Москва
705,10933,705Ш_МТухачевского49,"Москва ул. Маршала Тухачевского, д. 49",55.785113,37.464616,Москва
715,10942,715Ш_Зеленоград1634,"Зеленоград корп. 1634, стр. 3",55.976040,37.157132,Москва
780,11020,780М_Покрышкина7,"Москва ул. Покрышкина, д. 7, корп. 1 + ""ВкусВиллАйс""",55.664604,37.468192,Москва
774,11043,774М_Ленинский37,"Москва Ленинский проспект, д. 37а",55.708587,37.586670,Москва
796,11064,796М_Зел_Яблоневая_аллея2,"Зеленоград Яблоневая аллея, д. 2",55.996213,37.216942,Москва
835,11103,835М_Можайское28,"Москва Можайское шоссе, д. 28",55.720249,37.421364,Москва
844,11112,844М_Братиславская16,"Москва ул. Братиславская,  д. 16, к. 1",55.659358,37.757440,Москва
845,11113,845М_Михалковская4,"Москва ул. Михалковская,  д. 4",55.837404,37.538125,Москва
850,11118,850М_Зеленоград1215,Зеленоград корп. 1215,55.994381,37.190046,Москва
859,11127,859М_Пришвина26,"Москва ул. Пришвина, д. 26",55.884833,37.603753,Москва
860,11128,860М_Широкая12,"Москва ул. Широкая,  д. 12",55.886515,37.659104,Москва
861,11129,861М_Долгоруковская39,"Москва ул. Долгоруковская, д. 39/6",55.778558,37.600747,Москва
863,11131,863М_Расковой12,"Москва ул. Расковой, д. 12",55.786435,37.571390,Москва
864,11132,864Ш_Люблинская171,"Москва ул. Люблинская,  д. 171",55.646914,37.746912,Москва
872,11141,872М_Петрозаводская24,"Москва ул. Петрозаводская,  д. 24А, стр. 1",55.867647,37.493470,Москва
875,11144,875М_Радужная14,"Москва град Московский, ул. Радужная, д. 14, корп. 2",55.589554,37.373069,Москва
880,11149,880М_Уссурийская9,"Москва ул. Уссурийская,  д. 9, корп.1",55.823838,37.818966,Москва
883,11152,883М_ЯнаРайниса2,"Москва бульвар Яна Райниса,  д. 2, корп. 1",55.851050,37.434514,Москва
890,11159,890М_Украинский6,"Москва Украинский бульвар, д. 6",55.747647,37.565048,Москва
891,11160,891М_Ярославское2,"Москва Ярославское шоссе, д. 2, корп. 2",55.852501,37.680320,Москва
896,11166,896М_ЗиАКосмодемьянских4,"Москва ул. Зои и Александра Космодемьянских, д. 4, корп. 2",55.818103,37.502130,Москва
897,11167,897М_Митинская36,"Москва ул. Митинская, д. 36",55.846118,37.363376,Москва
902,11173,902М_Азовская3,"Москва ул. Азовская, д. 3",55.662334,37.605715,Москва
905,11176,905М_Медынская2,Москва ул.Медынская 2к1с2,55.591472,37.646624,Москва
907,11178,907М_Снежная21,Москва ул. Снежная 21,55.854805,37.650918,Москва
910,11181,910М_ГенералаБелобородова11,"Москва ул. Генерала Белобородова, д. 11",55.836452,37.355138,Москва
914,11185,914М_800летМосквы22,"Москва ул. 800 летия Москвы, д. 22, к.2",55.879243,37.556541,Москва
925,11196,925М_Комсомольский38,"Москва Комсомольский проспект, д. 38/16",55.723004,37.575468,Москва
933,11204,933М_Новокузнецкая13,"Москва ул. Новокузнецкая, д. 13 стр. 1",55.737155,37.631792,Москва
940,11211,940М_Ленинградский74,"Москва Ленинградский проспект, д. 74а",55.806940,37.516925,Москва
944,11215,944М_Шипиловский39,"Москва Шипиловский проезд, д.39, корп 2",55.612746,37.697684,Москва
966,11237,966М_МаршалаЗахарова2,"Москва улица Маршала Захарова, 2",55.624027,37.707143,Москва
981,11252,981Ш_Строгинский1,Москва Строгинский бул.1,55.806044,37.395455,Москва
983,11254,983М_Братиславская29,"Москва ул. Братиславская, д.29, корп. 1",55.653797,37.767016,Москва
987,11258,987М_Проспект_Мира40,Москва проспект Мира 40,55.780203,37.633949,Москва
1004,11271,1004М_Менжинского23,"Москва ул. Менжинского, 23",55.869849,37.660314,Москва
1011,11281,1011М_Лестева21,Москва ул.Лестева 21/61,55.714414,37.608526,Москва
1013,11283,1013М_МалГрузинская12,Москва Малая Грузинская 12,55.763797,37.572064,Москва
1019,11289,1019М_Гарибальди23,Москва ул.Гарибальди д.23,55.671498,37.553792,Москва
1020,11290,1020М_Истринская10,Москва ул. Истринская д.10 к.1,55.737010,37.435178,Москва
1026,11296,1026М_Ленинский87,Москва ул. Ленинский проспект 87,55.679428,37.533885,Москва
1031,11301,1031М_Хорошевское68,Москва Хорошевское ш.68,55.778056,37.526483,Москва
1032,11302,1032М_Туристская13,Москва ул.Туристская 13 корп.2,55.849650,37.422225,Москва
1033,11303,1033М_Гризодубовой4,"Москва ул.Гризодубовой, д.4 корп.3",55.784622,37.523177,Москва
1038,11308,1038М_Вишневая2,Москва ул. Вишневая 2/14,55.827257,37.446794,Москва
1039,11309,1039М_Новопеределкинская9,"Москва ул. Новопеределкинская, д. 9а",55.640309,37.366071,Москва
1042,11312,1042Ш_87кмМКАД8,"Москва МКАД 87 км, д. 8, ТЦ Час-Пик",55.898218,37.629874,Москва
1058,11328,1058М_ЗемлянойВал38,"Москва ул. Земляной Вал, д. 38-40/15, стр.9",55.755110,37.656523,Москва
1067,11337,1067М_Тимирязевская19,"Москва Тимирязевская, 19",55.812884,37.566359,Москва
1069,11339,1069М_Южнобутовская113,Москва ул. Южнобутовская д. 113,55.533674,37.517725,Москва
1077,11347,1077М_Карбышева13,"Москва б-р Генерала Карбышева, д. 13, корп. 1",55.781226,37.469602,Москва
1078,11348,1078М_Каширское53,Москва Каширское шоссе 53 к4,55.639344,37.693597,Москва
1082,11352,1082Ш_Зел_корпус234А,Зеленоград корпус 234А,56.002979,37.205776,Москва
1087,11357,1087М_Грекова22,"Москва ул. Грекова, д. 22",55.892006,37.662856,Москва
1089,11359,1089М_МарииУльяновой9,"Москва ул. Марии Ульяновой, д. 9, к. 4",55.680001,37.525432,Москва
1108,11380,1108Ш_Мытная52,Москва ул. Мытная д.52,55.717087,37.618785,Москва
1113,11385,1113М_ЛётчикаУльянина4,"Москва ул. Лётчика Ульянина, д. 4",55.624967,37.306540,Москва
1115,11387,"1115М_Коммунарка_Лазурная,д.3","Москва поселение Коммунарка, ул. Лазурная, д. 3",55.568436,37.473231,Москва
1114,11388,1114М_Воронцовская46,Москва ул Воронцовская д. 46,55.732965,37.663099,Москва
1122,11394,1122М_9Парковая59,"Москва ул. 9-я Парковая, д. 59, корп. 2",55.808063,37.797945,Москва
1126,11398,1126М_Каргопольская18,"Москва ул. Каргопольская, дом 18, стр. 1",55.864480,37.593938,Москва
1132,11404,1132Ш_Зел_корпус834А,Зеленоград корпус 834 А,55.979918,37.176203,Москва
1141,11413,1141М_Сев_Чертаново1,"Москва мкр. Северное Чертаново, д.1А",55.637393,37.600388,Москва
1148,11420,1148М_Багрицкого3,"Москва ул. Багрицкого, д. 3, к. 1",55.723967,37.437173,Москва
1149,11421,1149М_Ярославская11,"Москва ул. Ярославская, д. 11, к. 2",55.818154,37.646651,Москва
1150,11422,1150М_Азовская24,"Москва ул. Азовская, д. 24, корп. 2",55.651672,37.596910,Москва
